id,amount,status,country,transaction_type,customer_id,transaction_date,transaction_time
1,1200,ACTIVE,US,CARD,CUST-001,2026-09-01,10:15
2,5500,ACTIVE,UK,TRANSFER,CUST-002,2026-09-01,11:30
3,12500,ACTIVE,IN,TRANSFER,CUST-003,2026-09-01,14:05
4,7200,FAILED,DE,CARD,CUST-004,2026-09-01,15:20
5,-250,ACTIVE,US,CASH,CUST-005,2026-09-01,16:10
6,800,ACTIVE,FR,CARD,,2026-09-01,09:40
7,16000,ACTIVE,US,TRANSFER,CUST-007,2026-09-01,18:45
8,300,ACTIVE,IN,CASH,CUST-008,2026-09-02,12:00
9,7600,ACTIVE,UK,TRANSFER,CUST-009,2026-09-02,13:25
10,5200,ACTIVE,DE,CARD,CUST-010,2026-09-02,14:40
11,11000,ACTIVE,FR,TRANSFER,CUST-011,2026-09-02,17:55
12,450,FAILED,US,CASH,CUST-012,2026-09-02,10:05
13,6800,ACTIVE,IN,CARD,CUST-013,2026-09-02,20:15
14,2500,ACTIVE,UK,CASH,CUST-014,2026-09-03,08:30
15,10050,ACTIVE,US,TRANSFER,CUST-015,2026-09-03,09:15
16,900,ACTIVE,DE,CARD,CUST-016,2026-09-03,11:45
17,15000,ACTIVE,FR,TRANSFER,CUST-017,2026-09-03,16:30
18,6000,ACTIVE,IN,CARD,CUST-018,2026-09-03,17:10
19,6000,ACTIVE,IN,CARD,CUST-018,2026-09-03,17:10
20,350,ACTIVE,US,CASH,CUST-020,2026-09-04,12:20
